"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
167,Collect 35 of all Pokémons,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,35,14,0,49,100,
,Collect 45 of all Pokémons,收集45全體精靈,Collect 45 of all Pokémons,전체 포켓몬 45마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,45,14,0,49,100,
169,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,15,0,50,100,
170,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,15,0,50,100,
171,Collect 36 of all Pokémons,收集36全體精靈,Collect 36 of all Pokémons,전체 포켓몬 36마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,36,15,0,50,100,
,Collect 42 of all Pokémons,收集42全體精靈,Collect 42 of all Pokémons,전체 포켓몬 42마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,42,15,0,50,100,
173,Collect 20 of all Pokémons,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,20,16,0,51,100,
174,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,16,0,51,100,
175,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,16,0,51,100,
,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,16,0,51,100,
177,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,17,0,52,100,
178,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,17,0,52,100,
179,Collect 36 of all Pokémons,收集36全體精靈,Collect 36 of all Pokémons,전체 포켓몬 36마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,36,17,0,52,100,
,Collect 42 of all Pokémons,收集42全體精靈,Collect 42 of all Pokémons,전체 포켓몬 42마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,42,17,0,52,100,
181,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,18,0,53,100,
182,Collect 24 of all Pokémons,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,24,18,0,53,100,
183,Collect 30 of all Pokémons,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,30,18,0,53,100,
,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,18,0,53,100,
