变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
121017,"d. Sprint duration, the duration when Pokémon triggers sprinting","  d.衝刺持續時間，精靈觸發衝刺時所持續的時間","  d. Sprint duration, the duration when Pokémon triggers sprinting",,
121018,#L10##C0xF76B45#[Result announcement]:,#L10##C0xF76B45#【結果公佈】:,"#L10##C0xF76B45#[Result announcement]: ",,
121019,1. The game will end when all Pokémons reach the finish line.,1.比賽將會在所有精靈在到達終點時結束。,1. The game will end when all Pokémons reach the finish line.,,
121020,"2. At the end of the game, trainers can receive the guessing rewards in the [historical game] (trainers who have not guessed will not have any rewards), and they can also replay the game process.",2.比賽結束時，訓練家們可以在【歷史比賽】中領取競猜獎勵(沒有競猜過的訓練師將沒有任何獎勵)，也可以重播比賽過程。,"2. At the end of the game, trainers can receive the guessing rewards in the [historical game] (trainers who have not guessed will not have any rewards), and they can also replay the game process.",,
121021,3. The guessing reward includes two parts: guess points and item rewards. trainers can receive corresponding stage rewards in [Point Reward] by accumulate guess points.,3.競猜獎勵包括兩部分：競猜積分、道具獎勵；累計一定的競猜積分，可以在【積分獎勵】中領取相應的階段性獎勵。,3. The guessing reward includes two parts: guess points and item rewards. trainers can  receive corresponding stage rewards in [Point Reward] by accumulate guess points.,,
121022,#L10#4. Guess reward preview:,#L10#4.競猜獎勵預覽：,#L10#4. Guess reward preview:,,
,,,,,
122001,#C0xF76B45#[Basic Rules],#C0xF76B45#【基礎規則】,#C0xF76B45#[Basic Rules],,
122002,"1. During the event, you can start challenge for limited attempts per day for Brave Challenge",1.活動期間內，每天恢復3次挑戰次數，次數恢復時間為淩晨5點，次數累計上限為10次,"1. During the event, you can start challenge for limited attempts per day for Brave Challenge",,
122003,"2. At the beginning of the process, you can choose three Pokémons as the starting line up",2.寶可夢挑戰開始，可任選三隻精靈作為首發精靈,"2. At the beginning of the process, you can choose three Pokémons as the starting line up",,
122004,3. Some Pokémons have special unlocking conditions and need to be unlocked before use,3.特殊首發精靈有特殊解鎖條件，需要解鎖後才能使用,3. Some Pokémons have special unlocking conditions and need to be unlocked before use,,
122005,"4. Before challenging the level, you can adjust on battle Pokémon according to the enemy's information",4.挑戰關卡前可根據敵方資訊進行調整上陣精靈,"4. Before challenging the level, you can adjust on battle Pokémon according to the enemy's information",,
122006,"5. After winning each battle, you can choose one of the three optional medals",5.每場戰鬥勝利後可以從三個可選勳章中任選一個,"5. After winning each battle, you can choose one of the three optional medals",,
122007,"6. The medal plays a decisive role in the battle, so choose carefully",6.連續使用3次相同的首發精靈陣容進行挑戰可開局獲得勳章獎勵；每日首次挑戰也會有額外勳章獎勵，不要錯過,"6. The medal plays a decisive role in the battle, so choose carefully",,
122008,"7. Defeat the final BOSS to complete this round, and record the number of passes and rounds",7.勳章對戰鬥起到決定性的作用，所以要謹慎選擇,"7. Defeat the final BOSS to complete this round, and record the number of passes and rounds",,
122009,"8. During the event, the progress of the challenge will be saved, and the process will be reset after clearance or challenge fails",8.打敗最終的BOSS即完成本輪次的通關，記錄通關次數和回合,"8. During the event, the progress of the challenge will be saved, and the process will be reset after clearance or challenge fails",,
122010,"9. During the event, consume attempts, repeat challenges, complete achievements, and achieve new breakthroughs",9.活動期間，挑戰進度會保存，完成通關或挑戰失敗會重置流程,"9. During the event, consume attempts, repeat challenges, complete achievements, and achieve new breakthroughs",,
122011,"10. During event, consume attempts to challenge repeatedly, complete achievements and achieve new breakthrough",10.活動期間，消耗次數，可重複挑戰，完成成就，實現新的突破,"10. During event, consume attempts to challenge repeatedly, complete achievements and achieve new breakthrough",,
122012,#C0xF76B45#[Battle Rules],#C0xF76B45#【戰鬥規則】,#C0xF76B45#[Battle Rules],,
122013,"1. At the end of the battle, all the Pokémons' HP and the anger of starting line up Pokémons will be retained. Pokémons recruited in the middle will have a fixed anger each time they participate in the battle.",1.戰鬥結束會保留己方全部精靈血量和首發精靈的怒氣，中途招募的精靈每次參戰都為固定怒氣,"1. At the end of the battle, all the Pokémons' HP and the anger of starting line up Pokémons will be retained. Pokémons recruited in the middle will have a fixed anger each time they participate in the battle.",,
122014,"2. If Pokémons are killed in battle, they cannot enter battle again",2.戰鬥過程中精靈陣亡，則不可再上陣,"2. If Pokémons are killed in battle, they cannot enter battle again",,
122015,3. Cleared stages cannot be repeated challenges,3.戰鬥勝利後的關卡不可重複挑戰,3. Cleared stages cannot be repeated challenges,,
122016,#C0xF76B45#[Reward Rules],#C0xF76B45#【獎勵規則】,#C0xF76B45#[Reward Rules],,
122017,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B#",1.#C0xF76B45#活動結束，所有成就獎勵不補發，請務必在活動結束前領取#C0x5B545B#,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B# ",,
122018,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,2.首次通關時，可獲得首次通關獎勵，通關後，重複挑戰可獲得挑戰獎勵,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,,
122019,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",3.活動持續期間，副本挑戰獲得的金幣上限為#Icommon/icon/icon_gold.png-56-56#8000000,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",,
,,,,,
123001,#L10##C0xF76B45#[Pack Rules],#L10##C0xF76B45#【禮包規則】,#L10##C0xF76B45#[Pack Rules],,
123002,1. Customized giftpack will be according to the trainer's own situation before the gift package appears,1.根據禮包出現前訓練家的自身情況，來定制專屬禮包,1. Customized giftpack will be according to the trainer's own situation before the gift package appears,,
123003,"2. Gift packs are time limited on sale, so don’t miss this chance",2.禮包限時出售，訓練家們不要錯失良機,"2. Gift packs are time limited on sale, so don’t miss this chance",,
123004,"3. Gift packs is a one-time release, no new gift packs will be added to the exclusive limit",3.禮包是一次性投放，不會再有新的禮包加入到尊享限定,"3. Gift packs is a one-time release, no new gift packs will be added to the exclusive limit",,
123005,"4. System will customize a more high-quality gift pack in your follow-up improvement, so stay tuned",4.訓練家在後續提升的自身實力，會在下次尊享開啟時再為您定制更優質的禮包，敬請期待,"4. System will customize a more high-quality gift pack in your follow-up improvement, so stay tuned",,
,,,,,
124001,#C0xF76B45#[Basic Rules],#C0xF76B45#【基礎規則】,#C0xF76B45#[Basic Rules],,
124002,1. Z Awakening training can improve the attributes of elves,,,,
124003,"2. In a certain stage of Z awakening, the spirit's skills will be strengthened by a second awakening",,,,
124004,3. It is shared with the Z Awakening training of Elves of the Evolution series (excluding Super Evolution).,,,,
124005,"4. After the elves undergo z-awakening training, the level of awakening power can be improved, and more additional team attribute bonuses can be obtained",,,,
124006,"5. After super-evolving, the old elf Z awakening training will be automatically reset, and the super-evolved elves need to re-upgrade Z awakening",,,,
124007,"6. Z awakening fragments are a new type of fragments, which cannot be synthesized into complete elves",,,,
124008,7. The spirits of different evolution series have different Z awakening fragments,,,,
124009,"8. Z Awakening Fragments can be used for Z Awakening training of elves, extreme attribute training, and super-evolutionary materials",,,,
124010,9. Z Awakening Reset Instructions:,,,,
124011,"①Resetting will return 100% of the cultivation resources, and the Z awakening fragments exchanged in the returned resources will still be Z awakening fragments, and will not become elves or elf fragments",,,,
124012,② Consumed spirits or spirit fragments will be converted and returned to Z awakening fragments,,,,
,,,,,
124101,#C0xF76B45#[Basic Rules],#C0xF76B45#【基礎規則】,#C0xF76B45#[Basic Rules],,
124102,1. The experience value of the power of awakening level comes from the Z awakening training of all elf series,,,,
124103,"2. Every time you activate a Z awakening training, you can get a certain experience value",,,,
124104,"3. When the experience value is satisfied, the level of awakening power will be automatically increased",,,,
124105,"4. If the Z awakening of the elf is reset, the awakening power will reduce the corresponding experience value",,,,
124106,"5. After the power of awakening loses the experience value, the level and the corresponding bonus effect will also be invalid",,,,
,,,,,
,#C0xF76B45#[Basic Rules],#C0xF76B45#【基礎規則】,#C0xF76B45#[Basic Rules],,
,"1. During the event, you can start challenge for limited attempts per day for Brave Challenge",1.活動時間內，每天限定次數可開始挑戰進行勇者挑戰,"1. During the event, you can start challenge for limited attempts per day for Brave Challenge",,
,"2. At the beginning of the process, you can choose three Pokémons as the starting line up",2.流程開始，可任選三隻精靈作為首發精靈,"2. At the beginning of the process, you can choose three Pokémons as the starting line up",,
,3. Some Pokémons have special unlocking conditions and need to be unlocked before use,3.部分精靈有特殊解鎖條件，需要解鎖後才能使用,3. Some Pokémons have special unlocking conditions and need to be unlocked before use,,
,"4. Before challenging the level, you can adjust on battle Pokémon according to the enemy's information",4.挑戰關卡前可根據敵方資訊進行調整上陣精靈,"4. Before challenging the level, you can adjust on battle Pokémon according to the enemy's information",,
,"5. After winning each battle, you can choose one of the three optional medals",5.每場戰鬥勝利後可以從三個可選勳章中任選一個,"5. After winning each battle, you can choose one of the three optional medals",,
,"6. The medal plays a decisive role in the battle, so choose carefully",6.勳章對戰鬥起到決定性的作用，所以要謹慎選擇,"6. The medal plays a decisive role in the battle, so choose carefully",,
,"7. Defeat the final BOSS to complete this round, and record the number of passes and rounds",7.打敗最終的BOSS即完成本輪次的通關，記錄通關次數和回合,"7. Defeat the final BOSS to complete this round, and record the number of passes and rounds",,
,"8. During the event, the progress of the challenge will be saved, and the process will be reset after clearance or challenge fails",8.活動期間，挑戰進度會保存，完成通關或挑戰失敗會重置流程,"8. During the event, the progress of the challenge will be saved, and the process will be reset after clearance or challenge fails",,
,"9. During the event, consume attempts, repeat challenges, complete achievements, and achieve new breakthroughs",9.活動期間，消耗次數，可重複挑戰，完成成就，實現新的突破,"9. During the event, consume attempts, repeat challenges, complete achievements, and achieve new breakthroughs",,
,#C0xF76B45#[Battle Rules],#C0xF76B45#【戰鬥規則】,#C0xF76B45#[Battle Rules],,
,"1. At the end of the battle, all the Pokémons' HP and the anger of starting line up Pokémons will be retained. Pokémons recruited in the middle will have a fixed anger each time they participate in the battle.",1.戰鬥結束會保留己方全部精靈血量和首發精靈的怒氣，中途招募的精靈每次參戰都為固定怒氣,"1. At the end of the battle, all the Pokémons' HP and the anger of starting line up Pokémons will be retained. Pokémons recruited in the middle will have a fixed anger each time they participate in the battle.",,
,"2. If Pokémons are killed in battle, they cannot enter battle again",2.戰鬥過程中精靈陣亡，則不可再上陣,"2. If Pokémons are killed in battle, they cannot enter battle again",,
,3. Cleared stages cannot be repeated challenges,3.戰鬥勝利後的關卡不可重複挑戰,3. Cleared stages cannot be repeated challenges,,
,#C0xF76B45#[Reward Rules],#C0xF76B45#【獎勵規則】,#C0xF76B45#[Reward Rules],,
,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B#",1.#C0xF76B45#活動結束，所有成就獎勵不補發，請務必在活動結束前領取#C0x5B545B#,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B# ",,
,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,2.首次通關時，可獲得首次通關獎勵，通關後，重複挑戰可獲得挑戰獎勵,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,,
,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",3.活動持續期間，副本挑戰獲得的金幣上限為#Icommon/icon/icon_gold.png-56-56#8000000,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",,
,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B#",1.#C0xF76B45#活動結束，所有成就獎勵不補發，請務必在活動結束前領取#C0x5B545B#,"1. The #C0xF76B45# After event ends, all achievement rewards will not be reissued, please be sure to collect before the event ends#C0x5B545B# ",,
,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,2.首次通關時，可獲得首次通關獎勵，通關後，重複挑戰可獲得挑戰獎勵,2. You can get first clearance reward after stage first clearance. Repeat challenges can get challenge rewards after clearance,,
,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",3.活動持續期間，副本挑戰獲得的金幣上限為#Icommon/icon/icon_gold.png-56-56#3000000,"3. During event, the limit of coins obtain by stage challenge is #Icommon/icon/icon_gold.png-56-56#8000000",,
,,,,,
124201,"1. During the event, assign Pokémon to execute according to the commission, various rewards waiting for you!",1.活動期間，根據委託指派精靈執行，執行完成後可獲得豐富獎勵！,"1. During the event, assign Pokémon to execute according to the commission, various rewards waiting for you!",,
124202,"2. To execute the commission, you need to dispatch Pokémons that meet the requirements of the commission, spend action points, and cost certain amount of time. If #C0xF76B45# meets the commission's extra requirements, you can get extra surprises!",2.執行委託需要派遣符合委託要求的精靈，扣除行動點，並耗費一定時長，若#C0xF76B45#滿足委託的加分要求，則可收穫額外驚喜！,"2. To execute the commission, you need to dispatch Pokémons that meet the requirements of the commission, spend action points, and cost certain amount of time. If #C0xF76B45# meets the commission's extra requirements, you can get extra surprises!",,
124203,"3. Commissions are divided into main lines and branch lines, which are arranged orderly in map. You need to #C0xF76B45#complete the previous commission before proceeding to the next commission.",3.委託分為主線與支線，在地圖中有序排列，需要#C0xF76B45#先完成前置委託後，才可進行下一個委託,"3. Commissions are divided into main lines and branch lines, which are arranged orderly in map. You need to #C0xF76B45#complete the previous commission before proceeding to the next commission.",,
124204,"4. There are #C0xF76B45# commissions on the branch line that can be carried out multiple times, #C0x5B545B# also has #C0xF76B45# treasure chest rewards, #C0x5B545B# the former one #C0xF76B45# can get various rewards, #C0x5B545B# the latter one #C0xF76B45# can get rewards right away, don't miss them!",4.支線上的委託有#C0xF76B45#可進行多次的，#C0x5B545B#也有#C0xF76B45#寶箱獎勵，#C0x5B545B#前者#C0xF76B45#可獲得不菲獎勵，#C0x5B545B#後者則#C0xF76B45#無需耗時即獲得獎勵，千萬不要錯過它們！,"4. There are #C0xF76B45# commissions on the branch line that can be carried out multiple times, #C0x5B545B# also has #C0xF76B45# treasure chest rewards, #C0x5B545B# the former one #C0xF76B45# can get various rewards, #C0x5B545B# the latter one #C0xF76B45# can get rewards right away, don't miss them!",,
124205,5. All commissions (including treasure chests) displayed on the map can be tap to view details whether completed,5.地圖上展示的所有委託（包括寶箱），在沒有完成的狀態下，均可以點擊進行查看,5. All commissions (including treasure chests) displayed on the map can be tap to view details whether completed,,
124206,"4. Asignment needs to be done manually. After commission is completed, remember to #C0xF76B45# to collect reward. Only 3 #C0x5B545B# commissions can be executed #C0x5B545B#at the same time, #C0xF76B45# including the commissions that have been completed but have not received rewards, please arrange properly",4.委託需要手動委派精靈，委託完成後記得要#C0xF76B45#親自收取獎勵。#C0x5B545B#同時#C0xF76B45#可執行（包括已完成未領取獎勵的委託）3個#C0x5B545B#委託，請妥善安排,"4.  Asignment needs to be done manually. After commission is completed, remember to #C0xF76B45# to collect reward. Only 3 #C0x5B545B# commissions can be executed #C0x5B545B#at the same time,  #C0xF76B45# including the commissions that have been completed but have not received rewards, please arrange properly",,
124207,"5. When the commission is in progress, it is able to abandon commission in the middle. After abandon commission, timer resets to zero, action points will be returned, and will not be able to get commission rewards.",5.在委託進行中時，支持中途放棄任務，放棄任務後，任務計時歸零，歸還行動點，且不獲得委託獎勵。,"5. When the commission is in progress, it is able to abandon commission in the middle. After abandon commission, timer resets to zero, action points will be returned, and will not be able to get commission rewards.",,
,,,,,
124301,"1. Welcome to the safari zone, it is said that the best way to hunt is to become prey",1.歡迎來到狩獵地帶，據說狩獵最好的方式就是將自己成為獵物,"1. Welcome to the safari zone, it is said that the best way to hunt is to become prey",,
124302,"2. In the safari zone, the buffs gained from the battle victory and selection of healing supplies are all helpful for clearing the level.",2.在狩獵地帶中，戰鬥勝利獲得的增益效果、適當選擇治療補給都有助於通關,"2. In the safari zone, the buffs gained from the battle victory and selection of healing supplies are all helpful for clearing the level.",,
124303,"3. The safari zone is divided into two routes, normal and advanced. The content, progress, and gain effects of the two routes are independent of each other and do not affect each other",3.狩獵地帶分為普通和進階兩個線路等待探索，兩條路線的內容、進度、增益效果等互相獨立，互不影響,"3. The safari zone is divided into two routes, normal and advanced. The content, progress, and gain effects of the two routes are independent of each other and do not affect each other",,
124304,"4 The normal route restores 1 challenge attempts each 48 hours, advanced route restores 1 challenge attempts each 96 hours. The restoration time is 5 am UTC+8, and the cumulative limit is 5 times",4普通路線每48小時恢復1次挑戰次數，進階路線每96小時恢復1次挑戰次數；次數恢復時間為淩晨5點，次數累計上限為5次,"4 The normal route restores 1 challenge attempts each 48 hours, advanced route restores 1 challenge attempts each 96 hours. The restoration time is 5 am UTC+8, and the cumulative limit is 5 times",,
124305,"5. After each route is unlocked, able to save challenge status until corresponding route attempt recovery point, system will reset the content of the route at the corresponding attempt recovery point.",5.每條路線開啟後直到對應線路的次數恢復節點都可保存該線路的挑戰狀態，系統將在對應線路的次數恢復節點重置該路線內容,"5. After each route is unlocked, able to save challenge status until corresponding route attempt recovery point, system will reset the content of the route at the corresponding attempt recovery point.",,
124306,"6. During the challenge or after clearance, you can choose to end the challenge manually or wait for the system to automatically reset the route content",6.挑戰過程中或通關後，可選擇手動結束挑戰或等待系統自動重置路線內容,"6. During the challenge or after clearance, you can choose to end the challenge manually or wait for the system to automatically reset the route content",,
124307,"7. When player reached certain Level to unlock Grind. According to highest history score and last time highest score, to grind over battle of certain stages, after grind over are able to claim all rewards and takes zero damage",7.當玩家達到一定等級後開啓碾壓，根據曆史最高戰績和上次最高表現，可以碾壓一定層數以下的戰鬥，碾壓後可以無傷過關並獲得全部獎勵,"7. When player reached certain Level to unlock Grind. According to highest history score and last time highest score, to grind over battle of certain stages, after grind over are able to claim all rewards and takes zero damage",,
,,,,,
124401,#F40##L10# Refining instructions:,#F40##L10#洗練說明：,#F40##L10# Refining instructions:,,
124402,#F36#1. Each chip can only select at most 2 attributes for refining,#F36#1.每個芯片最多只能選擇2條屬性進行洗練,#F36#1. Each chip can only select at most 2 attributes for refining,,
124403,"#F36#2. After selected refining attribute type and refining, the selected refining type will be locked, will be unable to cancel or change the refining target. This operation is irreversible, please select the refining type carefully before refining",#F36#2.選定洗練的屬性條目洗練後，選定的洗練條目將被鎖定，將無法再取消或者更換洗練目標，此操作不可逆，請謹慎選擇洗練條目後再洗練,"#F36#2. After selected refining attribute type and refining, the selected refining type will be locked, will be unable to cancel or change the refining target. This operation is irreversible, please select the refining type carefully before refining",,
124404,"#F36#3. During the refining, randomly selected refining attribute type and the enhance attempts of random attributes will be reset",#F36#3.洗練時，會同時重置隨機所選擇洗練的屬性類型以及所有隨機屬性的強化次數,"#F36#3. During the refining, randomly selected refining attribute type and the enhance attempts of random attributes will be reset",,
,"#F36#4. After resetting the refinement, you can re-select the attribute type for refinement",#F36#4.重置洗練後可以重新選擇屬性條目進行洗練,"#F36#4. After resetting the refinement, you can re-select the attribute type for refinement",,
,#F36#3. Resetting the refinement can restore the refined attribute type to the original attribute type,#F36#3.重置洗練可以將已洗練的屬性條目還原至初始的屬性類型,#F36#3. Resetting the refinement can restore the refined attribute type to the original attribute type,,
,"#F36#4. After resetting the refinement, you can re-select the attribute type for refinement",#F36#4.重置洗練後可以重新選擇屬性條目進行洗練,"#F36#4. After resetting the refinement, you can re-select the attribute type for refinement",,
,,,,,
124501,"1. In the learning chip rebirth, you can reset the learning chip you have trained to the default Lv.1 state",1.在學習芯片重生內，可將自己培養過的學習芯片重置至初始1級狀態,"1. In the learning chip rebirth, you can reset the learning chip you have trained to the default Lv.1 state",,
124502,"2. After the learning chip is reborn, 100% of the level development resources will be returned, and these resources can be used to re-train other learning chips",2.學習芯片重生後，返還100%的等級養成資源，可以利用這些資源重新培養其他學習芯片,"2. After the learning chip is reborn, 100% of the level development resources will be returned, and these resources can be used to re-train other learning chips",,
124503,"3. After learning chip rebirth,and enhance to the original level, its attribute type and enhance attempts will not change, the rebirth can only return resources, not randomizing attributes.",3.學習芯片重生後，再強化到原始等級時，其屬性條目和強化次數不會變化，即重生只能返還資源，不會重新隨機屬性,"3. After learning chip rebirth,and enhance to the original level, its attribute type and enhance attempts will not change, the rebirth can only return resources, not randomizing attributes.",,
124504,"4. The rebirth of learning chip requires diamonds. The higher the training level of the rebirth learning chip, the more diamonds will be needed. The limit of the consumption of a single learning chip is 100#Icommon/icon/icon_diamond.png-56-56#",4.學習芯片重生需要消耗鑽石，重生的學習芯片培養程度越高需要的鑽石會更多；單個學習芯片重生鑽石消耗上限爲100#Icommon/icon/icon_diamond.png-56-56#,"4. The rebirth of learning chip requires diamonds. The higher the training level of the rebirth learning chip, the more diamonds will be needed. The limit of the consumption of a single learning chip is 100#Icommon/icon/icon_diamond.png-56-56#",,
124505,"5. The untrained learning chip cannot be rebirth, nor will it appear in the interface of the optional learning chip rebirth",5.未培養過的學習芯片無法進行重生，也不會出現在重生可選學習芯片的界面內,"5. The untrained learning chip cannot be rebirth, nor will it appear in the interface of the optional learning chip  rebirth",,
,,,,,
,,,,,
,,,,,
124601,1. Wearing chips can increase CP of Pokémon,1.穿著芯片可以增加精靈的戰鬥能力,1. Wearing chips can increase CP of Pokémon,,
124602,2. Each chip has 1 to 2 fixed attributes and several random attributes,2.每個芯片擁有1~2條固定屬性和若幹條隨機屬性,2. Each chip has 1 to 2 fixed attributes and several random attributes,,
124603,"3. Chips have corresponding set attributes. Wearing 2/4 chips of same set attributes can activate their corresponding set attributes. The higher the chip quality, the better the set attributes.",3.芯片有對應的套裝屬性，穿2/4件同一套裝屬性的芯片能夠激活其對應的套裝屬性，芯片品質越高，套裝屬性越好,"3. Chips have corresponding set attributes. Wearing 2/4 chips of same set attributes can activate their corresponding set attributes. The higher the chip quality, the better the set attributes.",,
124604,4. Each chip can only be assembled in its designated position,4.每個芯片只能裝配到其指定的位置中,4. Each chip can only be assembled in its designated position,,
124605,5. Chip slot description:,5.芯片位置說明:,5. Chip slot description:,,
124606,Position,位置,Position,,
124607,Fixed attributes,固定屬性,Fixed attributes,,
124608,Random attribute,隨機屬性,Random attribute,,
124609,HP,生命,HP,,
124610,"HP, P.&Sp.DEF, Crit Resistance, Heal Effect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance",生命、雙防、暴擊抗性、治療效果、抵禦、免疫控制率、傷害減免、必殺抗性,"HP, P.&Sp.DEF, Crit Resistance, Heal Effect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance",,
124611,P.&Sp. ATK,雙攻,P.&Sp. ATK,,
124612,"Speed, P.&Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",速度、雙攻、雙防忽視、暴擊、暴擊傷害、破抵禦、控制率、傷害加成、必殺加成,"Speed, P.&Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",,
124613,P. & Sp. DEF,雙防,P. & Sp. DEF,,
124614,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",生命、雙防、暴擊抗性、治療效果、反彈、抵禦、免疫控制率、傷害減免、必殺抗性 ,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",,
124615,"HP, P.&Sp. ATK",生命、雙攻,"HP, P.&Sp. ATK",,
124616,"Speed, Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",速度、怒氣回複速度、雙攻、雙防忽視、暴擊、暴擊傷害、破抵禦、控制率、傷害加成、必殺加成,"Speed, Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Block Break, Control Rate, Damage Bonus, Ultimate Skill Bonus",,
124617,P. & Sp. DEF,雙防,P. & Sp. DEF,,
124618,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",生命、雙防、暴擊抗性、治療效果、反彈、抵禦、免疫控制率、傷害減免、必殺抗性 ,"HP, P. & Sp. DEF, Crit Resistance, Heal Effect, Reflect, Block, Immune Control Rate, Damage Reduction, Ultimate Skill Resistance ",,
124619,"HP, P.&Sp. ATK",生命、雙攻,"HP, P.&Sp. ATK",,
124620,"Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Lifesteal, Block Break, Damage Bonus, Ultimate Skill Bonus",怒氣回複速度、雙攻、雙防忽視、暴擊、暴擊傷害、吸血、破抵禦、傷害加成、必殺加成,"Anger Recovery Speed, P. & Sp. ATK, P. & Sp. DEF Ignorance, Crit, Crit Damage, Lifesteal, Block Break, Damage Bonus, Ultimate Skill Bonus",,
,,,,,
124701,"1. Enhancement can improve chip level, the higher the level, the higher the main attribute",1.強化可以提升芯片等級，等級越高主屬性越高,"1. Enhancement can improve chip level, the higher the level, the higher the main attribute",,
124702,"2. Enhancement needs to consume coins, other chips or exclusive enhancement materials",2.強化需要消耗金幣，其他的芯片或者專屬強化材料,"2. Enhancement needs to consume coins, other chips or exclusive enhancement materials",,
124703,"3. When using chips above Lv.1 as a enhance material, after the enhancement succeed, coins used for enhancement of the chip as the material will be returned",3. 使用超過1級的芯片作爲強化材料時，強化成功後，作爲材料的芯片強化所消耗的金幣會返還,"3. When using chips above Lv.1 as a enhance material, after the enhancement succeed,  coins used for enhancement of the chip as the material will be returned",,
124704,4. Upgrading level can also unlock new random attributes and enhance random attributes that have been obtained. Random attribute enhancement attempts is limited.,4.提升等級還可以解鎖新的隨機屬性和隨機強化已經獲得的隨機屬性，單條隨機屬性的強化次數有上限,4. Upgrading level can also unlock new random attributes and enhance random attributes that have been obtained. Random attribute enhancement attempts is limited.,,
124705,5.Chip attribute level description:,5.芯片屬性等級說明:,5.Chip attribute level description:,,
124706,#C0x5B545B#Quality,#C0x5B545B#品質,#C0x5B545B#Quality,,
124707,Attribute unlock level,屬性解鎖等級,Attribute unlock level,,
124708,Attribute enhancement level,屬性強化等級,Attribute enhancement level,,
,,,,,
124801,"#L10##C0xF76B45# ""In the hot summer, use a cool water-ice to smooth your soul""","#L10##C0xF76B45#""炎炎夏日，用一份清涼的刨冰消除內心的聒噪""","#L10##C0xF76B45# ""In the hot summer, use a cool water-ice to smooth your soul""",,"#L10##C0xF76B45#""무더운 여름엔 시원한 빙수로 지친 마음을 달래주자"""
124802,#L10##C0xF76B45#[Activity Rules]:,#L10##C0xF76B45#【活動規則】:,#L10##C0xF76B45#[Activity Rules]:,,#L10##C0xF76B45#[이벤트 규칙]:
124803,"1. After the event starts, Trainers will make water-ice for Pokémon to eliminate the heat",1.活動開啓後，訓練家們會爲寶可夢們制作刨冰，消除炎熱,"1. After the event starts, Trainers will make water-ice for Pokémon to eliminate the heat",,1. 이벤트가 오픈 후 트레이너들이 포켓몬들을 위해 빙수를 만들어 더위를 식힙니다.
124804,"2. Pokémon will propose their favorite flavors of water-ice after playing, and trainers need to remember their needs before the progress bar ends.",2.寶可夢們在上場後會提出自己喜歡的刨冰口味，訓練家們需要在進度條結束前記憶需求,"2. Pokémon will propose their favorite flavors of water-ice after playing, and trainers need to remember their needs before the progress bar ends.",,2. 포켓몬들은 찾아오면 자신이 좋아하는 빙수 맛을 주문하고 트레이너들은 진도표가 끝나기 전에 주문 메뉴를 기억해야 합니다.
