变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
251095,Slurpuff,胖甜妮,Slurpuff,404404,나루림,elitesmonster,2,18,,,<99>,,,,3432,,config/portrait/speedranktouxiang/img_685_ptn@.png,config/portrait/jinglingtouxiang/img_685_ptn@.png,config/portrait/jinglingtouxiang1/img_685_ptn@.png,config/portrait/simple/img_685_ptn@.png,config/big_hero/normal/img_685_ptn@.png,,{x=10;y=40},koudai_pangtianni/hero_pangtianni.skel,,config/big_hero/standby/img_685_ptn@.png,,{x=140;y=-20},<34326;59007;59008;59001;59011;59024;100191>,<34321;34322;34323>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251096,Victreebel,大食花,Victreebel,404404,우츠보트,elitesmonster,2,4,8,,<99>,,,,283,,config/portrait/speedranktouxiang/img_71_dsh@.png,config/portrait/jinglingtouxiang/img_71_dsh@.png,config/portrait/jinglingtouxiang1/img_71_dsh@.png,config/portrait/simple/img_71_dsh@.png,config/big_hero/normal/img_71_dsh@.png,1.3,{x=30;y=-10},koudai_dashihua/hero_dashihua.skel,,config/big_hero/standby/img_71_dsh@.png,,{x=140;y=-20},<2836;59007;59008;59001;59011;>,<2831;2832;2833>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251097,Dragonite,快龍,Dragonite,404404,망나뇽,elitesmonster,3,15,10,,<99>,,,,753,,config/portrait/speedranktouxiang/img_149_kl@.png,config/portrait/jinglingtouxiang/img_149_kl@.png,config/portrait/jinglingtouxiang1/img_149_kl@.png,config/portrait/simple/img_149_kl@.png,config/big_hero/normal/img_149_kl@.png,1.2,{x=70;y=50},koudai_kuailong/hero_kuailong.skel,,config/big_hero/standby/img_149_kl@.png,,,<7536;59007;59008;59001;59011;>,<7531;7532;7533;7534>,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251098,Salamence,暴飛龍,Salamence,404404,보만다,elitesmonster,3,15,10,,<99>,,,,1893,,config/portrait/speedranktouxiang/img_373_bfl@.png,config/portrait/jinglingtouxiang/img_373_bfl@.png,config/portrait/jinglingtouxiang1/img_373_bfl@.png,config/portrait/simple/img_373_bfl@.png,config/big_hero/normal/img_373_bfl@.png,1.8,{x=70;y=10},koudai_baofeilong/hero_baofeilong.skel,,config/big_hero/standby/img_373_bfl@.png,,,<18936;59007;59008;59001;59011;>,<18931;18932;18933>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251099,Meganium,大竺葵,Meganium,404404,메가니움,elitesmonster,2,4,,,<99>,,,,783,,config/portrait/speedranktouxiang/img_154_dzk@.png,config/portrait/jinglingtouxiang/img_154_dzk@.png,config/portrait/jinglingtouxiang1/img_154_dzk@.png,config/portrait/simple/img_154_dzk@.png,config/big_hero/normal/img_154_dzk@.png,1.1,{x=0;y=30},koudai_dazhukui/hero_dazhukui.skel,,config/big_hero/standby/img_154_dzk@.png,,,<7836;59007;59008;59001;59011;>,<7831;7832;7833>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251100,Goodra,黏美龍,Goodra,404404,미끄래곤,elitesmonster,3,15,,,<99>,,,,3543,,config/portrait/speedranktouxiang/img_706_nml@.png,config/portrait/jinglingtouxiang/img_706_nml@.png,config/portrait/jinglingtouxiang1/img_706_nml@.png,config/portrait/simple/img_706_nml@.png,config/big_hero/normal/img_706_nml@.png,1.5,{x=-25;y=-70},koudai_nianmeilong/hero_nianmeilong.skel,,config/big_hero/standby/img_706_nml@.png,,,<35436;35434;59007;59008;59001;59011;59024;100201>,<35431;35432;35433>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251101,Chesnaught,布裡卡隆,Chesnaught,404404,브리가론,elitesmonster,2,4,7,,<99>,,,,3283,,config/portrait/speedranktouxiang/img_652_blkl@.png,config/portrait/jinglingtouxiang/img_652_blkl@.png,config/portrait/jinglingtouxiang1/img_652_blkl@.png,config/portrait/simple/img_652_blkl@.png,config/big_hero/normal/img_652_blkl@.png,1.5,{x=-30;y=0},koudai_bulikalong/hero_bulikalong.skel,,config/big_hero/standby/img_652_blkl@.png,,{x=140;y=-20},<32836;59007;59008;59003;59012;>,<32831;32832;32833>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251102,Garchomp,烈咬陸鯊,Garchomp,404404,한카리아스,elitesmonster,3,15,9,,<99>,,,,2233,,config/portrait/speedranktouxiang/img_445_lyls@.png,config/portrait/jinglingtouxiang/img_445_lyls@.png,config/portrait/jinglingtouxiang1/img_445_lyls@.png,config/portrait/simple/img_445_lyls@.png,config/big_hero/normal/img_445_lyls@.png,1.6,{x=-65;y=85},koudai_lieyaolusha/hero_lieyaolusha.skel,,config/big_hero/standby/img_445_lyls@.png,,,<22336;59007;59008;59003;59012;>,<22331;22332;22333>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.9,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251103,Haxorus,雙斧戰龍,Haxorus,404404,액스라이즈,elitesmonster,3,15,,,<99>,,,,3003,,config/portrait/speedranktouxiang/img_612_sfzl@.png,config/portrait/jinglingtouxiang/img_612_sfzl@.png,config/portrait/jinglingtouxiang1/img_612_sfzl@.png,config/portrait/simple/img_612_sfzl@.png,config/big_hero/normal/img_612_sfzl@.png,1.5,{x=90;y=-40},koudai_shuangfuzhanlong/hero_shuangfuzhanlong.skel,,config/big_hero/standby/img_612_sfzl@.png,,,<30036;59007;59008;59005;59012;59028;>,<30031;30032;30033>,,,,,,,2.3,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251104,Torterra,土台龜,Torterra,404404,토대부기,elitesmonster,2,4,9,,<99>,,,,2013,,config/portrait/speedranktouxiang/img_389_ttg@.png,config/portrait/jinglingtouxiang/img_389_ttg@.png,config/portrait/jinglingtouxiang1/img_389_ttg@.png,config/portrait/simple/img_389_ttg@.png,config/big_hero/normal/img_389_ttg@.png,1.5,{x=-90;y=130},koudai_tutaigui/hero_tutaigui.skel,,config/big_hero/standby/img_389_ttg@.png,,{x=140;y=-20},<20136;59007;59008;59002;59012;>,<20131;20132;20133>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,1.9,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251105,Mew,夢幻,Mew,404404,뮤,elitesmonster,3,11,,,<99>,,,,771,,config/portrait/speedranktouxiang/img_151_mh@.png,config/portrait/jinglingtouxiang/img_151_mh@.png,config/portrait/jinglingtouxiang1/img_151_mh@.png,config/portrait/simple/img_151_mh@.png,config/big_hero/normal/img_151_mh@.png,1.3,{x=50;y=10},koudai_menghuan/hero_menghuan.skel,,config/big_hero/standby/img_151_mh@.png,,,<7716;59007;59008;59001;59011;59024;100211>,<7711;7712;7713>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251106,Vanilluxe,雙倍多多冰,Vanilluxe,404404,배바닐라,elitesmonster,2,6,,,<99>,,,,2873,,config/portrait/speedranktouxiang/img_584_sbddb@.png,config/portrait/jinglingtouxiang/img_584_sbddb@.png,config/portrait/jinglingtouxiang1/img_584_sbddb@.png,config/portrait/simple/img_584_sbddb@.png,config/big_hero/normal/img_584_sbddb@.png,1.2,{x=10;y=25},koudai_shuangbeiduoduobing/hero_shuangbeiduoduobing.skel,,config/big_hero/standby/img_584_sbddb@.png,,,<28736;59007;59008;59003;59012;>,<28731;28732;28733>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.8,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251107,Goodra,黏美龍,Goodra,404404,미끄래곤,elitesmonster,3,15,,,<99>,,,,3543,,config/portrait/speedranktouxiang/img_706_nml@.png,config/portrait/jinglingtouxiang/img_706_nml@.png,config/portrait/jinglingtouxiang1/img_706_nml@.png,config/portrait/simple/img_706_nml@.png,config/big_hero/normal/img_706_nml@.png,1.5,{x=-25;y=-70},koudai_nianmeilong/hero_nianmeilong.skel,,config/big_hero/standby/img_706_nml@.png,,,<35436;35434;59007;59008;59003;59012;>,<35431;35432;35433>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251108,Klinklang,齒輪怪,Klinklang,404404,기기기어르,elitesmonster,2,17,,,<99>,,,,2963,,config/portrait/speedranktouxiang/img_601_clg@.png,config/portrait/jinglingtouxiang/img_601_clg@.png,config/portrait/jinglingtouxiang1/img_601_clg@.png,config/portrait/simple/img_601_clg@.png,config/big_hero/normal/img_601_clg@.png,1.3,{x=25;y=0},koudai_chilunguai/hero_chilunguai.skel,,config/big_hero/standby/img_601_clg@.png,,,<29636;59007;59008;59005;59012;59028;>,<29631;29632;29633>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.3,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251109,Walrein,帝牙海獅,Walrein,404404,씨카이저,elitesmonster,2,6,3,,<99>,,,,1863,,config/portrait/speedranktouxiang/img_365_dyhs@.png,config/portrait/jinglingtouxiang/img_365_dyhs@.png,config/portrait/jinglingtouxiang1/img_365_dyhs@.png,config/portrait/simple/img_365_dyhs@.png,config/big_hero/normal/img_365_dyhs@.png,1.2,{x=0;y=30},koudai_diyahaishi/hero_diyahaishi.skel,,config/big_hero/standby/img_365_dyhs@.png,,,<18636;59007;59008;59002;59012;>,<18631;18632;18633>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251110,Rhyperior,超甲狂犀,Rhyperior,404404,거대코뿌리,elitesmonster,3,9,13,,<99>,,,,493,,config/portrait/speedranktouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,config/portrait/simple/img_464_cjkx@.png,config/big_hero/normal/img_464_cjkx@.png,1.2,{x=20;y=50},koudai_chaojiakuangxi/hero_chaojiakuangxi.skel,,config/big_hero/standby/img_464_cjkx@.png,,,<4936;59007;59008;59001;59011;59024;100221>,<4931;4932;4933>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251111,Beartic,凍原熊,Beartic,404404,툰베어,elitesmonster,2,6,,,<99>,,,,3012,,config/portrait/speedranktouxiang/img_614_dyx@.png,config/portrait/jinglingtouxiang/img_614_dyx@.png,config/portrait/jinglingtouxiang1/img_614_dyx@.png,config/portrait/simple/img_614_dyx@.png,config/big_hero/normal/img_614_dyx@.png,1.3,{x=5;y=0},koudai_dongyuanxiong/hero_dongyuanxiong.skel,,config/big_hero/standby/img_614_dyx@.png,,,<30126;59007;59008;59003;59012;>,<30121;30122;30123>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251112,Absol,阿勃梭魯,Absol,404404,앱솔,elitesmonster,3,16,,,<99>,,,,1841,,config/portrait/speedranktouxiang/img_359_absl@.png,config/portrait/jinglingtouxiang/img_359_absl@.png,config/portrait/jinglingtouxiang1/img_359_absl@.png,config/portrait/simple/img_359_absl@.png,config/big_hero/normal/img_359_absl@.png,1.1,{x=5;y=0},koudai_abosuolu/hero_abosuolu.skel,,config/big_hero/standby/img_359_absl@.png,,{x=140;y=-20},<18416;59007;59008;59003;59012;>,<18411;18412;18413>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.3,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251113,Magmortar,鴨嘴炎獸,Magmortar,404404,마그마번,elitesmonster,3,2,,,<99>,,,,603,,config/portrait/speedranktouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang1/img_467_yzys@.png,config/portrait/simple/img_467_yzys@.png,config/big_hero/normal/img_467_yzys@.png,2,{x=-50;y=160},koudai_yazuiyanshou/hero_yazuiyanshou.skel,,config/big_hero/standby/img_467_yzys@.png,,,<6036;59007;59008;59005;59012;59028;>,<6031;6032;6033>,,,,,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251114,Machamp,怪力,Machamp,404404,괴력몬,elitesmonster,2,7,,,<99>,,,,273,,config/portrait/speedranktouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang1/img_68_gl@.png,config/portrait/simple/img_68_gl@.png,config/big_hero/normal/img_68_gl@.png,1.5,{x=-30;y=30},koudai_guaili/hero_guaili.skel,,config/big_hero/standby/img_68_gl@.png,,,<2736;59007;59008;59002;59012;>,<2731;2732;2733>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251115,Weavile,瑪狃拉,Weavile,404404,포푸니라,elitesmonster,3,16,6,,<99>,,,,1082,,config/portrait/speedranktouxiang/img_461_mnl@.png,config/portrait/jinglingtouxiang/img_461_mnl@.png,config/portrait/jinglingtouxiang1/img_461_mnl@.png,config/portrait/simple/img_461_mnl@.png,config/big_hero/normal/img_461_mnl@.png,,{x=5;y=5},koudai_maniula/hero_maniula.skel,,config/big_hero/standby/img_461_mnl@.png,,,<10826;59007;59008;59001;59011;59024;100231>,<10821;10822;10823>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251116,Conkeldurr,修建老匠,Conkeldurr,404404,노보청,elitesmonster,2,7,,,<99>,,,,2633,,config/portrait/speedranktouxiang/img_534_xjlj@.png,config/portrait/jinglingtouxiang/img_534_xjlj@.png,config/portrait/jinglingtouxiang1/img_534_xjlj@.png,config/portrait/simple/img_534_xjlj@.png,config/big_hero/normal/img_534_xjlj@.png,2.4,{x=30;y=60},koudai_xiujianlaojiang/hero_xiujianlaojiang.skel,,config/big_hero/standby/img_534_xjlj@.png,,,<26336;59007;59008;59003;59012;>,<26331;26332;26333>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251117,Rayquaza,裂空座,Rayquaza,Rayquaza,레쿠쟈,elitesmonster,4,15,10,,<99>,,,,1981,,config/portrait/speedranktouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang1/img_384_lkz@.png,config/portrait/simple/img_384_lkz@.png,config/big_hero/normal/img_384_lkz@.png,1.3,{x=50;y=-30},koudai_liekongzuo/hero_liekongzuo.skel,,config/big_hero/standby/img_384_lkz@.png,,{x=140;y=-20},<19816;59007;59008;59003;59012;59026;>,<19811;19812;19813>,,,{'hitPos'={'x'=0;'y'=195};'lifePos'={'x'=0;'y'=410};'headPos'={'x'=0;'y'=370};'namePos'={'x'=0;'y'=410}},,,,2.3,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251118,Gyarados,暴鯉龍,Gyarados,404404,갸라도스,elitesmonster,3,3,10,,<99>,,,,631,,config/portrait/speedranktouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang1/img_130_bll@.png,config/portrait/simple/img_130_bll@.png,config/big_hero/normal/img_130_bll@.png,1.3,{x=-20;y=100},koudai_baolilong/hero_baolilong.skel,,config/big_hero/standby/img_130_bll@.png,,{x=140;y=-20},<6326;59007;59008;59005;59012;59028;59021;>,<6321;6322;6323>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251119,Hitmonchan,快拳郎,Hitmonchan,404404,홍수몬,elitesmonster,2,7,,,<99>,,,,463,,config/portrait/speedranktouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang/img_107_kql@.png,config/portrait/jinglingtouxiang1/img_107_kql@.png,config/portrait/simple/img_107_kql@.png,config/big_hero/normal/img_107_kql@.png,1.4,{x=60;y=-60},koudai_kuaiquanlang/hero_kuaiquanlang.skel,,config/big_hero/standby/img_107_kql@.png,,{x=140;y=-20},<4636;59007;59008;59002;59012;59029;>,<4631;4632;4633>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251120,Groudon,固拉多,Groudon,404404,그란돈,elitesmonster,4,9,,,<99>,,,,1971,,config/portrait/speedranktouxiang/img_383_gld@.png,config/portrait/jinglingtouxiang/img_383_gld@.png,config/portrait/jinglingtouxiang1/img_383_gld@.png,config/portrait/simple/img_383_gld@.png,config/big_hero/normal/img_383_gld@.png,2.4,{x=100;y=30},koudai_guladuo/hero_guladuo.skel,,config/big_hero/standby/img_383_gld@.png,,,<19716;59007;59008;59001;59011;59024;100241>,<19711;19712;19713>,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251121,Hitmonlee,飛腿郎,Hitmonlee,404404,시라소몬,elitesmonster,2,7,,,<99>,,,,462,,config/portrait/speedranktouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang/img_106_ftl@.png,config/portrait/jinglingtouxiang1/img_106_ftl@.png,config/portrait/simple/img_106_ftl@.png,config/big_hero/normal/img_106_ftl@.png,1.3,{x=-110;y=0},koudai_feituilang/hero_feituilang.skel,,config/big_hero/standby/img_106_ftl@.png,,{x=140;y=-20},<4626;59007;59008;59003;59012;>,<4621;4622;4623>,,,{'hitPos'={'x'=0;'y'=150};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251122,Mega Charizard X,超級噴火龍X,Mega Charizard X,404404,메가리자몽X,elitesmonster,2,2,15,,<99>,,,,14,,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},<59007;59008;59003;59012;>,<141;142;143>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251123,Mega Gengar,超級耿鬼,Mega Gengar,404404,메가팬텀,elitesmonster,3,14,8,,<99>,,,,394,,config/portrait/speedranktouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,config/portrait/simple/img_94_cjgg@.png,config/big_hero/normal/img_94_cjgg@.png,0.9,{x=-5;y=20},koudai_gengguimega/hero_gengguimega.skel,,config/big_hero/standby/img_94_cjgg@.png,,,<59007;59008;59005;59012;59028;>,<3941;3942;3943>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251124,Hitmontop,戰舞郎,Hitmontop,404404,카포에라,elitesmonster,2,7,,,<99>,,,,464,,config/portrait/speedranktouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang/img_237_zwl@.png,config/portrait/jinglingtouxiang1/img_237_zwl@.png,config/portrait/simple/img_237_zwl@.png,config/big_hero/normal/img_237_zwl@.png,,{x=20;y=35},koudai_zhanwulang/hero_zhanwulang.skel,,config/big_hero/standby/img_237_zwl@.png,,{x=140;y=-20},<4646;59007;59008;59002;59012;>,<4641;4642;4643>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251125,Ho-Oh,鳳王,Ho-Oh,404404,칠색조,elitesmonster,4,2,10,,<99>,,,,1271,,config/portrait/speedranktouxiang/img_250_fw@.png,config/portrait/jinglingtouxiang/img_250_fw@.png,config/portrait/jinglingtouxiang1/img_250_fw@.png,config/portrait/simple/img_250_fw@.png,config/big_hero/normal/img_250_fw@.png,1.4,{x=10;y=70},koudai_fengwang/hero_fengwang.skel,,config/big_hero/standby/img_250_fw@.png,,,<12716;12715;59007;59008;59001;59011;59024;100251>,<12711;12712;12713>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251126,Weezing,雙彈瓦斯,Weezing,404404,또도가스,elitesmonster,2,8,,,<99>,,,,482,,config/portrait/speedranktouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang/img_110_sdws@.png,config/portrait/jinglingtouxiang1/img_110_sdws@.png,config/portrait/simple/img_110_sdws@.png,config/big_hero/normal/img_110_sdws@.png,1.1,{x=15;y=20},koudai_shuangdanwasi/hero_shuangdanwasi.skel,,config/big_hero/standby/img_110_sdws@.png,,,<4826;59007;59008;59003;59012;>,<4821;4822;4823>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
